Unnamed:0,char,dialog,movie
0,DEAGOL,"Oh Smeagol Ive got one! , Ive got a fish Smeagol, Smeagol!    ",The Return of the King 
1,SMEAGOL,"Pull it in! Go on, go on, go on, pull it in!  ",The Return of the King 
2,DEAGOL,Arrghh! ,The Return of the King 
3,SMEAGOL,Deagol!  ,The Return of the King 
4,SMEAGOL,Deagol!  ,The Return of the King 
5,SMEAGOL,Deagol!  ,The Return of the King 
6,SMEAGOL,Give us that! Deagol my love  ,The Return of the King 
7,DEAGOL,Why?  ,The Return of the King 
8,SMEAGOL,"Because' , it's my birthday and I wants it.  ",The Return of the King 
9,SMEAGOL, My precious.  ,The Return of the King 
10,SMEAGOL,They cursed us ,The Return of the King 
11,(GOLLUM,Murderer) ,The Return of the King 
12,SMEAGOL,'Murderer' they called us. They cursed us and drove us away.    ,The Return of the King 
13,SMEAGOL,"Gollum' Gollum' Gollum' , and we wept precious. We wept to be so alone.  ",The Return of the King 
14,SMEAGOL,"and cool, so nice for feet' and we only wish to catch a fish    , so juicy sweet.  ",The Return of the King 
15,SMEAGOL,"And we forgot the taste of bread, the sound of trees and the softness of     the wind. We even forgot our own name.  ",The Return of the King 
16,FRODO,    Gandalf?        ,The Return of the King 
18,MERRY,    Frodo!  ,The Return of the King 
19,GIMLI,    Aaaahh!  ,The Return of the King 
20,FRODO,    Gimli!  ,The Return of the King 
21,GOLLUM,My precious!    ,The Return of the King 
22,GOLLUM,"Wake up! , Wake up!     ,Wake up sleepies! We must go, yes, we must go at once.  ",The Return of the King 
23,SAM,Haven't you had any sleep Mr Frodo?  ,The Return of the King 
24,SAM,"And I've gone and had too much. , It must be getting late.  ",The Return of the King 
25,FRODO,"No, it isn't. It isn't midday yet. , The days are growing darker.  ",The Return of the King 
26,GOLLUM,Come on! Must go! No time!  ,The Return of the King 
27,SAM,Not before Mr Frodo's had something to eat.  ,The Return of the King 
28,GOLLUM,No time to lose silly!  ,The Return of the King 
29,SAM,Here. ,The Return of the King 
30,FRODO,What about you?  ,The Return of the King 
31,SAM,"Oh no, I'm not hungry, leastways not for lembas bread.  ",The Return of the King 
32,FRODO,Sam!  ,The Return of the King 
33,FRODO,    Aragorn!  ,The Return of the King 
34,GANDALF,    Now come the days of the King. May they be blessed. ,The Return of the King 
35,ARAGORN,"    This day does not belong to one man, but to all. Let us together rebuild     this world, that we may share in the days of peace.  ",The Return of the King 
36,ARAGORN,    Et E'rello Endorenna ut'lien. Sinome maruvan ar Hildinyar tenn' Ambar-metta!     ,The Return of the King 
37,ARAGORN,    Hannon le. ,The Return of the King 
38,ARAGORN,"    My friends, , you bow to     no-one.  ",The Return of the King 
39,FRODO,"    ,And thus     it was a Fourth Age of Middle Earth began. And the Fellowship of the Ring,     though eternally bound by friendship and love was ended.            Thirteen months to the day since Gandalf sent us on our long journey we find     ourselves looking upon a familiar sight.  ",The Return of the King 
40,FRODO,    We were home.  ,The Return of the King 
41,PIPPIN,    Alright!  ,The Return of the King 
42,HOBBIT,    Hey watch the pumpkin. ,The Return of the King 
43,ROSIE,    Goodnight lads.  ,The Return of the King 
44,SAM,"Oh alright, but we don't have that much left. We have to be careful or     we are going to run out. You go ahead and eat that Mr Frodo. I've rationed     it, there should be enough.  ",The Return of the King 
45,FRODO,For what?  ,The Return of the King 
46,SAM,The journey home.  ,The Return of the King 
47,GOLLUM,"Come Hobbitses, very close now. Very close to Mordor. No safe places here. Hurry.  ",The Return of the King 
48,MERRY,"It's good. Definitely from the Shire. ,Longbottom leaf eh?  ",The Return of the King 
49,PIPPIN,"uhh huh , I feel like I'm back at the Green Dragon.  ",The Return of the King 
50,MERRY,"Mmmm , Green Dragon!  ",The Return of the King 
51,PIPPIN,A mug of ale in my hand. Putting my feet up on a settle after a hard     day's work.  ,The Return of the King 
52,MERRY,"Only, , you've never done a hard day's work.     ",The Return of the King 
53,PIPPIN,Ahaha! ,The Return of the King 
54,MERRY,"Welcome, my lords to Isengard!  ",The Return of the King 
55,GIMLI,You young rascals. A merry hunt you've led us on and now we find you     feasting and ' and smoking!  ,The Return of the King 
56,PIPPIN,    Hmm?  ,The Return of the King 
57,FRODO,"    How do you pick up the threads of an old life? How do you go on, when in     your heart you begin to understand there is no going back? There are some     things that time cannot mend. Some hurts that go too deep, that have taken     hold. ",The Return of the King 
58,SAM,    Mr Frodo? What is it?  ,The Return of the King 
59,FRODO,    It's been four years to the day since Weathertop Sam. It's never really     healed.  ,The Return of the King 
60,SAM,"    , There and Back Again, a Hobbits tale     by Bilbo Baggins and the Lord of the Rings by Frodo Baggins. You finished     it. ",The Return of the King 
61,FRODO,    Not quite. There's room for a little more.  ,The Return of the King 
62,FRODO,"    Bilbo once told me his part in this tale would end. That each of us must     come and go in the telling. Bilbo's story was now over. There would be no     more journeys for him. , save one.  ",The Return of the King 
63,BILBO,"    Tell me again lad, where are we going? ",The Return of the King 
64,FRODO,    To the harbour Bilbo. The elves have accorded you a special honour. A place     on the last ship to leave Middle Earth.  ,The Return of the King 
65,BILBO,"    Frodo, any chance of seeing that old Ring of mine again? The one I gave you? ",The Return of the King 
66,PIPPIN," We are sitting on a field of     victory enjoying a few well earned comforts , The salted pork is particularly good.  ",The Return of the King 
67,GIMLI,Salted pork'  ,The Return of the King 
68,GANDALF,Hobbits!  ,The Return of the King 
69,MERRY,We're under orders from Treebeard who's taken over management of Isengard.        ,The Return of the King 
70,TREEBEARD,"Hoooom, young master Gandalf, I'm glad you've come. Wood and water,     stock and stone I can master, but there is a Wizard to manage here locked in     his tower ",The Return of the King 
71,ARAGORN," , Show yourself.     ",The Return of the King 
72,GANDALF,"Be careful. Even in defeat, Saruman is dangerous.  ",The Return of the King 
73,GIMLI,Well then let's just have his head and be done with it.  ,The Return of the King 
74,GANDALF,"No, we need him alive. We need him to talk.  ",The Return of the King 
